date,nifty_price_close
2024-11-18,77339.0078125
2024-11-19,77578.3828125
2024-11-21,77155.7890625
2024-11-22,79117.109375
2024-11-25,80109.8515625
2024-11-26,80004.0625
2024-11-27,80234.078125
2024-11-28,79043.7421875
2024-11-29,79802.7890625
2024-12-02,80248.078125
2024-12-03,80845.75
2024-12-04,80956.328125
2024-12-05,81765.859375
2024-12-06,81709.1171875
2024-12-09,81508.4609375
2024-12-10,81510.046875
2024-12-11,81526.140625
2024-12-12,81289.9609375
2024-12-13,82133.1171875
2024-12-16,81748.5703125
2024-12-17,80684.453125
2024-12-18,80182.203125
2024-12-19,79218.046875
2024-12-20,78041.59375
2024-12-23,78540.171875
2024-12-24,78472.8671875
2024-12-26,78472.4765625
2024-12-27,78699.0703125
2024-12-30,78248.1328125
2024-12-31,78139.0078125
2025-01-01,78507.40625
2025-01-02,79943.7109375
2025-01-03,79223.109375
2025-01-06,77964.9921875
2025-01-07,78199.109375
2025-01-08,78148.4921875
2025-01-09,77620.2109375
2025-01-10,77378.90625
2025-01-13,76330.0078125
2025-01-14,76499.6328125
2025-01-15,76724.078125
2025-01-16,77042.8203125
2025-01-17,76619.328125
2025-01-20,77073.4375
2025-01-21,75838.359375
2025-01-22,76404.9921875
2025-01-23,76520.3828125
2025-01-24,76190.4609375
2025-01-27,75366.171875
2025-01-28,75901.40625
2025-01-29,76532.9609375
2025-01-30,76759.8125
2025-01-31,77500.5703125
2025-02-03,77186.7421875
2025-02-04,78583.8125
2025-02-05,78271.28125
2025-02-06,78058.15625
2025-02-07,77860.1875
2025-02-10,77311.796875
2025-02-11,76293.6015625
2025-02-12,76171.078125
2025-02-13,76138.96875
2025-02-14,75939.2109375
2025-02-17,75996.859375
2025-02-18,75967.390625
2025-02-19,75939.1796875
2025-02-20,75735.9609375
2025-02-21,75311.0625
2025-02-24,74454.40625
2025-02-25,74602.1171875
2025-02-27,74612.4296875
2025-02-28,73198.1015625
2025-03-03,73085.9375
2025-03-04,72989.9296875
2025-03-05,73730.2265625
2025-03-06,74340.09375
2025-03-07,74332.578125
2025-03-10,74115.171875
2025-03-11,74102.3203125
2025-03-12,74029.7578125
2025-03-13,73828.90625
2025-03-17,74169.953125
2025-03-18,75301.2578125
2025-03-19,75449.046875
2025-03-20,76348.0625
2025-03-21,76905.5078125
2025-03-24,77984.3828125
2025-03-25,78017.1875
2025-03-26,77288.5
2025-03-27,77606.4296875
2025-03-28,77414.921875
2025-04-01,76024.5078125
2025-04-02,76617.4375
2025-04-03,76295.359375
2025-04-04,75364.6875
2025-04-07,73137.8984375
2025-04-08,74227.078125
2025-04-09,73847.1484375
2025-04-11,75157.2578125
2025-04-15,76734.890625
2025-04-16,77044.2890625
2025-04-17,78553.203125
2025-04-21,79408.5
2025-04-22,79595.59375
2025-04-23,80116.4921875
2025-04-24,79801.4296875
2025-04-25,79212.53125
2025-04-28,80218.3671875
2025-04-29,80288.3828125
2025-04-30,80242.2421875
2025-05-02,80501.9921875
2025-05-05,80796.84375
2025-05-06,80641.0703125
2025-05-07,80746.78125
2025-05-08,80334.8125
2025-05-09,79454.46875
2025-05-12,82429.8984375
2025-05-13,81148.21875
2025-05-14,81330.5625
2025-05-15,82530.7421875
2025-05-16,82330.59375
2025-05-19,82059.421875
2025-05-20,81186.4375
2025-05-21,81596.6328125
2025-05-22,80951.9921875
2025-05-23,81721.078125
2025-05-26,82176.453125
2025-05-27,81551.6328125
2025-05-28,81312.3203125
2025-05-29,81633.0234375
2025-05-30,81451.0078125
2025-06-02,81373.75
2025-06-03,80737.5078125
2025-06-04,80998.25
2025-06-05,81442.0390625
2025-06-06,82188.9921875
2025-06-09,82445.2109375
2025-06-10,82391.71875
2025-06-11,82515.140625
2025-06-12,81691.9765625
2025-06-13,81118.6015625
2025-06-16,81796.1484375
2025-06-17,81583.296875
2025-06-18,81444.65625
2025-06-19,81361.8671875
2025-06-20,82408.171875
2025-06-23,81896.7890625
2025-06-24,82055.109375
2025-06-25,82755.5078125
2025-06-26,83755.8671875
2025-06-27,84058.8984375
2025-06-30,83606.4609375
2025-07-01,83697.2890625
2025-07-02,83409.6875
2025-07-03,83239.46875
2025-07-04,83432.890625
2025-07-07,83442.5
2025-07-08,83712.5078125
2025-07-09,83536.078125
2025-07-10,83190.28125
2025-07-11,82500.46875
2025-07-14,82253.4609375
2025-07-15,82570.90625
2025-07-16,82634.4765625
2025-07-17,82259.2421875
2025-07-18,81757.7265625
2025-07-21,82200.34375
2025-07-22,82186.8125
2025-07-23,82726.640625
2025-07-24,82184.171875
2025-07-25,81463.09375
2025-07-28,80891.0234375
2025-07-29,81337.953125
2025-07-30,81481.859375
2025-07-31,81185.578125
2025-08-01,80599.90625
2025-08-04,81018.71875
2025-08-05,80710.25
2025-08-06,80543.9921875
2025-08-07,80623.2578125
2025-08-08,79857.7890625
2025-08-11,80604.078125
2025-08-12,80235.59375
2025-08-13,80539.90625
2025-08-14,80597.65625
2025-08-18,81273.75
2025-08-19,81644.390625
2025-08-20,81857.84375
2025-08-21,82000.7109375
2025-08-22,81306.8515625
2025-08-25,81635.90625
2025-08-26,80786.5390625
2025-08-28,80080.5703125
2025-08-29,79809.6484375
2025-09-01,80364.4921875
2025-09-02,80157.8828125
2025-09-03,80567.7109375
2025-09-04,80718.0078125
2025-09-05,80710.7578125
2025-09-08,80787.296875
2025-09-09,81101.3203125
2025-09-10,81425.1484375
2025-09-11,81548.7265625
2025-09-12,81904.703125
2025-09-15,81785.7421875
2025-09-16,82380.6875
2025-09-17,82693.7109375
2025-09-18,83013.9609375
2025-09-19,82626.2265625
2025-09-22,82159.96875
2025-09-23,82102.1015625
2025-09-24,81715.6328125
2025-09-25,81159.6796875
2025-09-26,80426.4609375
2025-09-29,80364.9375
2025-09-30,80267.6171875
2025-10-01,80983.3125
2025-10-03,81207.171875
2025-10-06,81790.1171875
2025-10-07,81926.75
2025-10-08,81773.65625
2025-10-09,82172.1015625
2025-10-10,82500.8203125
2025-10-13,82327.046875
2025-10-14,82029.9765625
2025-10-15,82605.4296875
2025-10-16,83467.65625
2025-10-17,83952.1875
2025-10-20,84363.3671875
2025-10-21,84426.34375
2025-10-23,84556.3984375
2025-10-24,84211.8828125
2025-10-27,84778.84375
2025-10-28,84628.15625
2025-10-29,84997.1328125
2025-10-30,84404.4609375
2025-10-31,83938.7109375
2025-11-03,83978.4921875
2025-11-04,83459.1484375
2025-11-06,83311.0078125
2025-11-07,83216.28125
2025-11-10,83535.3515625
2025-11-11,83871.3203125
2025-11-12,84466.5078125
2025-11-13,84478.671875
2025-11-14,84562.78125
2025-11-17,84950.953125
2025-11-18,84673.0234375
2025-11-19,85186.46875
2025-11-20,85632.6796875
2025-11-21,85231.921875
2025-11-24,84900.7109375
2025-11-25,84587.0078125
2025-11-26,85609.5078125
2025-11-27,85720.3828125
2025-11-28,85706.671875
2025-12-01,85641.8984375
2025-12-02,85138.2734375
2025-12-03,85106.8125
2025-12-04,85265.3203125
2025-12-05,85712.3671875
2025-12-08,85102.6875
2025-12-09,84666.28125
2025-12-10,84391.2734375
2025-12-11,84818.1328125
2025-12-12,85267.65625
2025-12-15,85213.359375
2025-12-16,84679.859375
2025-12-17,84559.6484375
2025-12-18,84481.8125
2025-12-19,84929.359375
2025-12-22,85567.4765625
2025-12-23,85524.84375
2025-12-24,85408.703125
2025-12-26,85041.453125
2025-12-29,84695.5390625
2025-12-30,84675.078125
2025-12-31,85220.6015625
2026-01-01,85188.6015625
2026-01-02,85762.0078125
2026-01-05,85439.6171875
2026-01-06,85063.34375
2026-01-07,84961.140625
2026-01-08,84180.9609375
2026-01-09,83576.2421875
2026-01-12,83878.171875
2026-01-13,83627.6875
2026-01-14,83382.7109375
2026-01-16,83570.3515625
2026-01-19,83246.1796875
2026-01-20,82180.46875
2026-01-21,81909.6328125
2026-01-22,82307.3671875
2026-01-23,81537.703125
2026-01-27,81857.4765625
2026-01-28,82344.6796875
2026-01-29,82566.3671875
2026-01-30,82269.78125
2026-02-02,81666.4609375
2026-02-03,83739.1328125
2026-02-04,83817.6875
2026-02-05,83313.9296875
